"","Day","Province","Death","Cases"
"520",93,"Jawa.Tengah",4.29,4.29
"521",93,"Jawa.Timur",12.57,12.57
"522",93,"Kalimantan.Selatan",2,2
"523",94,"Bali",0,0
"524",94,"Jakarta",1.43,1.43
"525",94,"Jawa.Barat",2.43,2.43
"526",94,"Jawa.Tengah",4.14,4.14
"527",94,"Jawa.Timur",13,13
"528",94,"Kalimantan.Selatan",1.86,1.86
"529",95,"Bali",0,0
"530",95,"Jakarta",2,2
"531",95,"Jawa.Barat",1.43,1.43
"532",95,"Jawa.Tengah",4.86,4.86
"533",95,"Jawa.Timur",13.86,13.86
"534",95,"Kalimantan.Selatan",2.57,2.57
"535",96,"Bali",0,0
"536",96,"Jakarta",1.57,1.57
"537",96,"Jawa.Barat",1,1
"538",96,"Jawa.Tengah",4.71,4.71
"539",96,"Jawa.Timur",14.43,14.43
"540",96,"Kalimantan.Selatan",2.71,2.71
"541",97,"Bali",0,0
"542",97,"Jakarta",1.71,1.71
"543",97,"Jawa.Barat",0.86,0.86
"544",97,"Jawa.Tengah",4.71,4.71
"545",97,"Jawa.Timur",16.71,16.71
"546",97,"Kalimantan.Selatan",3.29,3.29
"547",98,"Bali",0,0
"548",98,"Jakarta",2.14,2.14
"549",98,"Jawa.Barat",0.43,0.43
"550",98,"Jawa.Tengah",3.86,3.86
"551",98,"Jawa.Timur",18.43,18.43
"552",98,"Kalimantan.Selatan",3.43,3.43
"553",99,"Bali",0.14,0.14
"554",99,"Jakarta",3.29,3.29
"555",99,"Jawa.Barat",0.43,0.43
"556",99,"Jawa.Tengah",3.86,3.86
"557",99,"Jawa.Timur",18,18
"558",99,"Kalimantan.Selatan",4,4
"559",100,"Bali",0.14,0.14
"560",100,"Jakarta",3.86,3.86
"561",100,"Jawa.Barat",0.43,0.43
"562",100,"Jawa.Tengah",0.86,0.86
"563",100,"Jawa.Timur",16.71,16.71
"564",100,"Kalimantan.Selatan",4.43,4.43
"565",101,"Bali",0.14,0.14
"566",101,"Jakarta",4.14,4.14
"567",101,"Jawa.Barat",0.14,0.14
"568",101,"Jawa.Tengah",3.29,3.29
"569",101,"Jawa.Timur",16.29,16.29
"570",101,"Kalimantan.Selatan",5,5
"571",102,"Bali",0.14,0.14
"572",102,"Jakarta",3.57,3.57
"573",102,"Jawa.Barat",0.14,0.14
"574",102,"Jawa.Tengah",2.57,2.57
"575",102,"Jawa.Timur",17.71,17.71
"576",102,"Kalimantan.Selatan",4.71,4.71
"577",103,"Bali",0.14,0.14
"578",103,"Jakarta",4,4
"579",103,"Jawa.Barat",1.14,1.14
"580",103,"Jawa.Tengah",2.57,2.57
"581",103,"Jawa.Timur",17.57,17.57
"582",103,"Kalimantan.Selatan",5.43,5.43
"583",104,"Bali",0.14,0.14
"584",104,"Jakarta",8.14,8.14
"585",104,"Jawa.Barat",1.43,1.43
"586",104,"Jawa.Tengah",3.86,3.86
"587",104,"Jawa.Timur",16,16
"588",104,"Kalimantan.Selatan",5.14,5.14
"589",105,"Bali",0.14,0.14
"590",105,"Jakarta",7.71,7.71
"591",105,"Jawa.Barat",1.43,1.43
"592",105,"Jawa.Tengah",5.71,5.71
"593",105,"Jawa.Timur",14.86,14.86
"594",105,"Kalimantan.Selatan",5.14,5.14
"595",106,"Bali",0.14,0.14
"596",106,"Jakarta",7.71,7.71
"597",106,"Jawa.Barat",1.43,1.43
"598",106,"Jawa.Tengah",5.71,5.71
"599",106,"Jawa.Timur",15.71,15.71
"600",106,"Kalimantan.Selatan",5.71,5.71
"601",107,"Bali",0.43,0.43
"602",107,"Jakarta",6.71,6.71
"603",107,"Jawa.Barat",1.43,1.43
"604",107,"Jawa.Tengah",5.57,5.57
"605",107,"Jawa.Timur",16.57,16.57
"606",107,"Kalimantan.Selatan",5.14,5.14
"607",108,"Bali",0.43,0.43
"608",108,"Jakarta",6.43,6.43
"609",108,"Jawa.Barat",1.29,1.29
"610",108,"Jawa.Tengah",3.29,3.29
"611",108,"Jawa.Timur",16.14,16.14
"612",108,"Kalimantan.Selatan",4.57,4.57
"613",109,"Bali",0.43,0.43
"614",109,"Jakarta",7.57,7.57
"615",109,"Jawa.Barat",1.29,1.29
"616",109,"Jawa.Tengah",3.86,3.86
"617",109,"Jawa.Timur",14.86,14.86
"618",109,"Kalimantan.Selatan",3.86,3.86
"619",110,"Bali",0.43,0.43
"620",110,"Jakarta",8,8
"621",110,"Jawa.Barat",0.29,0.29
"622",110,"Jawa.Tengah",4.14,4.14
"623",110,"Jawa.Timur",14.14,14.14
"624",110,"Kalimantan.Selatan",3.57,3.57
"625",111,"Bali",0.71,0.71
"626",111,"Jakarta",5,5
"627",111,"Jawa.Barat",0.29,0.29
"628",111,"Jawa.Tengah",2.86,2.86
"629",111,"Jawa.Timur",14.29,14.29
"630",111,"Kalimantan.Selatan",3.71,3.71
"631",112,"Bali",0.71,0.71
"632",112,"Jakarta",5.43,5.43
"633",112,"Jawa.Barat",0.57,0.57
"634",112,"Jawa.Tengah",1,1
"635",112,"Jawa.Timur",16.86,16.86
"636",112,"Kalimantan.Selatan",3.29,3.29
"637",113,"Bali",0.57,0.57
"638",113,"Jakarta",5.43,5.43
"639",113,"Jawa.Barat",0.57,0.57
"640",113,"Jawa.Tengah",1,1
"641",113,"Jawa.Timur",16.43,16.43
"642",113,"Kalimantan.Selatan",2.43,2.43
"643",114,"Bali",0.57,0.57
"644",114,"Jakarta",5.43,5.43
"645",114,"Jawa.Barat",0.57,0.57
"646",114,"Jawa.Tengah",1,1
"647",114,"Jawa.Timur",16.43,16.43
"648",114,"Kalimantan.Selatan",2.71,2.71
"649",115,"Bali",0.57,0.57
"650",115,"Jakarta",5.43,5.43
"651",115,"Jawa.Barat",0.57,0.57
"652",115,"Jawa.Tengah",0.86,0.86
"653",115,"Jawa.Timur",19.14,19.14
"654",115,"Kalimantan.Selatan",3.14,3.14
"655",116,"Bali",0.71,0.71
"656",116,"Jakarta",5.43,5.43
"657",116,"Jawa.Barat",0.71,0.71
"658",116,"Jawa.Tengah",3.14,3.14
